Sample in Buffer,Sample in Window,TRIGGER,cos_500kHz[15:0],cos_1MHz[15:0],cos_2MHz[15:0],cos_2_8MHz_wc[15:0],outputCos[17:0],filteredCos[18:0]
0,0,0,16384,14193,8193,14848,-9259,-2788
1,1,0,15823,16384,16384,29952,40376,-4755
2,2,0,14183,14183,8188,-8960,58063,5933
3,3,0,11578,8182,-8196,-31744,14361,19707
4,4,0,8182,-13,-16385,2048,-18124,20833
5,5,0,4230,-8205,-8191,32256,6126,13697
6,6,0,-13,-14197,8193,5120,30335,13516
7,7,0,-4254,-16385,16384,-31232,56,19410
8,8,0,-8205,-14189,8188,-11264,-39583,16997
9,9,0,-11596,-8189,-8196,28928,-24517,4976
10,10,0,-14197,3,-16385,17664,11188,-1776
11,11,0,-15830,8197,-8191,-25088,-629,1243
12,12,0,-16385,14193,8193,-22528,-38868,930
13,13,0,-15826,16384,16384,20736,-29769,-8904
14,14,0,-14189,14183,8188,27136,17198,-15234
15,15,0,-11584,8182,-8196,-14848,22085,-9031
16,16,0,-8189,-13,-16385,-29952,-24390,-2381
17,17,0,-4238,-8205,-8191,8960,-42245,-8181
18,18,0,3,-14197,8193,31744,-1429,-17720
19,19,0,4245,-16385,16384,-2048,26696,-15863
20,20,0,8197,-14189,8188,-32256,-1900,-7207
21,21,0,11589,-8189,-8196,-5120,-29107,-6782
22,22,0,14193,3,-16385,31232,325,-13211
23,23,0,15827,8197,-8191,11264,41329,-11479
24,24,0,16384,14193,8193,-28928,29141,288
25,25,0,15823,16384,16384,-17664,-3400,7537
26,26,0,14183,14183,8188,25088,10447,5744
27,27,0,11578,8182,-8196,22528,48409,7637
28,28,0,8182,-13,-16385,-20736,36148,18784
29,29,0,4230,-8205,-8191,-27136,-16658,25473
30,30,0,-13,-14197,8193,14848,-29057,18124
31,31,0,-4254,-16385,16384,29952,9784,8594
32,32,0,-8205,-14189,8188,-8960,21601,9965
33,33,0,-11596,-8189,-8196,-31744,-22213,14119
34,34,0,-14197,3,-16385,2048,-49484,6800
35,35,0,-15830,8197,-8191,32256,-16245,-6421
36,36,0,-16385,14193,8193,5120,18476,-9680
37,37,0,-15826,16384,16384,-31232,-2121,-3851
38,38,0,-14189,14183,8188,-11264,-34770,-3900
39,39,0,-11584,8182,-8196,28928,-16315,-12105
40,40,0,-8189,-13,-16385,17664,19386,-14671
41,41,0,-4238,-8205,-8191,-25088,5371,-7991
42,42,0,3,-14197,8193,-22528,-35477,-5650
43,43,0,4245,-16385,16384,20736,-27576,-13813
44,44,0,8197,-14189,8188,27136,20884,-18981
45,45,0,11589,-8189,-8196,-14848,30285,-11388
46,46,0,14193,3,-16385,-29952,-9403,-2394
47,47,0,15827,8197,-8191,8960,-19855,-4446
48,48,0,16384,14193,8193,31744,26837,-8854
49,49,0,15823,16384,16384,-2048,57272,-1038
50,50,0,14183,14183,8188,-32256,26063,13409
51,51,0,11578,8182,-8196,-5120,-8935,18248
52,52,0,8182,-13,-16385,31232,8500,13733
53,53,0,4230,-8205,-8191,11264,35310,14141
54,54,0,-13,-14197,8193,-28928,9343,21200
55,55,0,-4254,-16385,16384,-17664,-33992,20885
56,56,0,-8205,-14189,8188,25088,-26015,9776
57,57,0,-11596,-8189,-8196,22528,11835,2050
58,58,0,-14197,3,-16385,-20736,4788,4752
59,59,0,-15830,8197,-8191,-27136,-39029,5355
60,60,0,-16385,14193,8193,14848,-40916,-5072
61,61,0,-15826,16384,16384,29952,7607,-14667
62,62,0,-14189,14183,8188,-8960,26414,-10932
63,63,0,-11584,8182,-8196,-31744,-14011,-2962
64,64,0,-8189,-13,-16385,2048,-41286,-6095
65,65,0,-4238,-8205,-8191,32256,-10245,-15655
66,66,0,3,-14197,8193,5120,21867,-16260
67,67,0,4245,-16385,16384,-31232,72,-8761
68,68,0,8197,-14189,8188,-11264,-31084,-7648
69,69,0,11589,-8189,-8196,28928,-8115,-14463
70,70,0,14193,3,-16385,17664,34373,-14684
71,71,0,15827,8197,-8191,-25088,27761,-4256
72,72,0,16384,14193,8193,-22528,-7211,3216
73,73,0,15823,16384,16384,20736,3000,1011
74,74,0,14183,14183,8188,27136,48847,1634
75,75,0,11578,8182,-8196,-14848,50457,13641
76,76,0,8182,-13,-16385,-29952,-1228,24550
77,77,0,4230,-8205,-8191,8960,-25874,21174
78,78,0,-13,-14197,8193,31744,7039,12058
79,79,0,-4254,-16385,16384,-2048,26680,12310
80,80,0,-8205,-14189,8188,-32256,-10399,17441
81,81,0,-11596,-8189,-8196,-5120,-45509,12661
82,82,0,-14197,3,-16385,31232,-22860,-299
83,83,0,-15830,8197,-8191,11264,12939,-5977
84,84,0,-16385,14193,8193,-28928,-2516,-1996
85,85,0,-15826,16384,16384,-17664,-36169,-2376
86,86,0,-14189,14183,8188,25088,-21202,-11122
87,87,0,-11584,8182,-8196,22528,20037,-15033
88,88,0,-8189,-13,-16385,-20736,12986,-8145
89,89,0,-4238,-8205,-8191,-27136,-33029,-3881
90,90,0,3,-14197,8193,14848,-37525,-11654
91,91,0,4245,-16385,16384,29952,9800,-19579
92,92,0,8197,-14189,8188,-8960,30100,-14682
93,93,0,11589,-8189,-8196,-31744,-5811,-5322
94,94,0,14193,3,-16385,2048,-26299,-6110
95,95,0,15827,8197,-8191,32256,12145,-11921
96,96,0,16384,14193,8193,5120,50133,-7395
97,97,0,15823,16384,16384,-31232,30648,6062
98,98,0,14183,14183,8188,-11264,-3121,12966
99,99,0,11578,8182,-8196,28928,12057,10565
100,100,0,8182,-13,-16385,17664,42548,12258
101,101,0,4230,-8205,-8191,-25088,21742,21362
102,102,0,-13,-14197,8193,-22528,-27009,24127
103,103,0,-4254,-16385,16384,20736,-27592,14358
104,104,0,-8205,-14189,8188,27136,12385,5665
105,105,0,-11596,-8189,-8196,-14848,13883,8053
106,106,0,-14197,3,-16385,-29952,-32588,10517
107,107,0,-15830,8197,-8191,8960,-48245,1055
108,108,0,-16385,14193,8193,31744,-4820,-11139
109,109,0,-15826,16384,16384,-2048,24503,-10952
110,110,0,-14189,14183,8188,-32256,-5586,-3458
111,111,0,-11584,8182,-8196,-5120,-37307,-4423
112,112,0,-8189,-13,-16385,31232,-14662,-13197
113,113,0,-4238,-8205,-8191,11264,18939,-15213
114,114,0,3,-14197,8193,-28928,875,-8577
115,115,0,4245,-16385,16384,-17664,-33976,-7287
116,116,0,8197,-14189,8188,25088,-17516,-14871
117,117,0,11589,-8189,-8196,22528,28237,-17392
118,118,0,14193,3,-16385,-20736,27973,-8159
119,119,0,15827,8197,-8191,-27136,-10639,-146
120,120,0,16384,14193,8193,14848,-9259,-2788
121,121,0,15823,16384,16384,29952,40376,-4755
122,122,0,14183,14183,8188,-8960,58063,5933
123,123,0,11578,8182,-8196,-31744,14361,19707
124,124,0,8182,-13,-16385,2048,-18124,20833
125,125,0,4230,-8205,-8191,32256,6126,13697
126,126,0,-13,-14197,8193,5120,30335,13516
127,127,0,-4254,-16385,16384,-31232,56,19410
128,128,0,-8205,-14189,8188,-11264,-39583,16997
129,129,0,-11596,-8189,-8196,28928,-24517,4976
130,130,0,-14197,3,-16385,17664,11188,-1776
131,131,0,-15830,8197,-8191,-25088,-629,1243
132,132,0,-16385,14193,8193,-22528,-38868,930
133,133,0,-15826,16384,16384,20736,-29769,-8904
134,134,0,-14189,14183,8188,27136,17198,-15234
135,135,0,-11584,8182,-8196,-14848,22085,-9031
136,136,0,-8189,-13,-16385,-29952,-24390,-2381
137,137,0,-4238,-8205,-8191,8960,-42245,-8181
138,138,0,3,-14197,8193,31744,-1429,-17720
139,139,0,4245,-16385,16384,-2048,26696,-15863
140,140,0,8197,-14189,8188,-32256,-1900,-7207
141,141,0,11589,-8189,-8196,-5120,-29107,-6782
142,142,0,14193,3,-16385,31232,325,-13211
143,143,0,15827,8197,-8191,11264,41329,-11479
144,144,0,16384,14193,8193,-28928,29141,288
145,145,0,15823,16384,16384,-17664,-3400,7537
146,146,0,14183,14183,8188,25088,10447,5744
147,147,0,11578,8182,-8196,22528,48409,7637
148,148,0,8182,-13,-16385,-20736,36148,18784
149,149,0,4230,-8205,-8191,-27136,-16658,25473
150,150,0,-13,-14197,8193,14848,-29057,18124
151,151,0,-4254,-16385,16384,29952,9784,8594
152,152,0,-8205,-14189,8188,-8960,21601,9965
153,153,0,-11596,-8189,-8196,-31744,-22213,14119
154,154,0,-14197,3,-16385,2048,-49484,6800
155,155,0,-15830,8197,-8191,32256,-16245,-6421
156,156,0,-16385,14193,8193,5120,18476,-9680
157,157,0,-15826,16384,16384,-31232,-2121,-3851
158,158,0,-14189,14183,8188,-11264,-34770,-3900
159,159,0,-11584,8182,-8196,28928,-16315,-12105
160,160,0,-8189,-13,-16385,17664,19386,-14671
161,161,0,-4238,-8205,-8191,-25088,5371,-7991
162,162,0,3,-14197,8193,-22528,-35477,-5650
163,163,0,4245,-16385,16384,20736,-27576,-13813
164,164,0,8197,-14189,8188,27136,20884,-18981
165,165,0,11589,-8189,-8196,-14848,30285,-11388
166,166,0,14193,3,-16385,-29952,-9403,-2394
167,167,0,15827,8197,-8191,8960,-19855,-4446
168,168,0,16384,14193,8193,31744,26837,-8854
169,169,0,15823,16384,16384,-2048,57272,-1038
170,170,0,14183,14183,8188,-32256,26063,13409
171,171,0,11578,8182,-8196,-5120,-8935,18248
172,172,0,8182,-13,-16385,31232,8500,13733
173,173,0,4230,-8205,-8191,11264,35310,14141
174,174,0,-13,-14197,8193,-28928,9343,21200
175,175,0,-4254,-16385,16384,-17664,-33992,20885
176,176,0,-8205,-14189,8188,25088,-26015,9776
177,177,0,-11596,-8189,-8196,22528,11835,2050
178,178,0,-14197,3,-16385,-20736,4788,4752
179,179,0,-15830,8197,-8191,-27136,-39029,5355
180,180,0,-16385,14193,8193,14848,-40916,-5072
181,181,0,-15826,16384,16384,29952,7607,-14667
182,182,0,-14189,14183,8188,-8960,26414,-10932
183,183,0,-11584,8182,-8196,-31744,-14011,-2962
184,184,0,-8189,-13,-16385,2048,-41286,-6095
185,185,0,-4238,-8205,-8191,32256,-10245,-15655
186,186,0,3,-14197,8193,5120,21867,-16260
187,187,0,4245,-16385,16384,-31232,72,-8761
188,188,0,8197,-14189,8188,-11264,-31084,-7648
189,189,0,11589,-8189,-8196,28928,-8115,-14463
190,190,0,14193,3,-16385,17664,34373,-14684
191,191,0,15827,8197,-8191,-25088,27761,-4256
192,192,0,16384,14193,8193,-22528,-7211,3216
193,193,0,15823,16384,16384,20736,3000,1011
194,194,0,14183,14183,8188,27136,48847,1634
195,195,0,11578,8182,-8196,-14848,50457,13641
196,196,0,8182,-13,-16385,-29952,-1228,24550
197,197,0,4230,-8205,-8191,8960,-25874,21174
198,198,0,-13,-14197,8193,31744,7039,12058
199,199,0,-4254,-16385,16384,-2048,26680,12310
200,200,0,-8205,-14189,8188,-32256,-10399,17441
201,201,0,-11596,-8189,-8196,-5120,-45509,12661
202,202,0,-14197,3,-16385,31232,-22860,-299
203,203,0,-15830,8197,-8191,11264,12939,-5977
204,204,0,-16385,14193,8193,-28928,-2516,-1996
205,205,0,-15826,16384,16384,-17664,-36169,-2376
206,206,0,-14189,14183,8188,25088,-21202,-11122
207,207,0,-11584,8182,-8196,22528,20037,-15033
208,208,0,-8189,-13,-16385,-20736,12986,-8145
209,209,0,-4238,-8205,-8191,-27136,-33029,-3881
210,210,0,3,-14197,8193,14848,-37525,-11654
211,211,0,4245,-16385,16384,29952,9800,-19579
212,212,0,8197,-14189,8188,-8960,30100,-14682
213,213,0,11589,-8189,-8196,-31744,-5811,-5322
214,214,0,14193,3,-16385,2048,-26299,-6110
215,215,0,15827,8197,-8191,32256,12145,-11921
216,216,0,16384,14193,8193,5120,50133,-7395
217,217,0,15823,16384,16384,-31232,30648,6062
218,218,0,14183,14183,8188,-11264,-3121,12966
219,219,0,11578,8182,-8196,28928,12057,10565
220,220,0,8182,-13,-16385,17664,42548,12258
221,221,0,4230,-8205,-8191,-25088,21742,21362
222,222,0,-13,-14197,8193,-22528,-27009,24127
223,223,0,-4254,-16385,16384,20736,-27592,14358
224,224,0,-8205,-14189,8188,27136,12385,5665
225,225,0,-11596,-8189,-8196,-14848,13883,8053
226,226,0,-14197,3,-16385,-29952,-32588,10517
227,227,0,-15830,8197,-8191,8960,-48245,1055
228,228,0,-16385,14193,8193,31744,-4820,-11139
229,229,0,-15826,16384,16384,-2048,24503,-10952
230,230,0,-14189,14183,8188,-32256,-5586,-3458
231,231,0,-11584,8182,-8196,-5120,-37307,-4423
232,232,0,-8189,-13,-16385,31232,-14662,-13197
233,233,0,-4238,-8205,-8191,11264,18939,-15213
234,234,0,3,-14197,8193,-28928,875,-8577
235,235,0,4245,-16385,16384,-17664,-33976,-7287
236,236,0,8197,-14189,8188,25088,-17516,-14871
237,237,0,11589,-8189,-8196,22528,28237,-17392
238,238,0,14193,3,-16385,-20736,27973,-8159
239,239,0,15827,8197,-8191,-27136,-10639,-146
240,240,0,16384,14193,8193,14848,-9259,-2788
241,241,0,15823,16384,16384,29952,40376,-4755
242,242,0,14183,14183,8188,-8960,58063,5933
243,243,0,11578,8182,-8196,-31744,14361,19707
244,244,0,8182,-13,-16385,2048,-18124,20833
245,245,0,4230,-8205,-8191,32256,6126,13697
246,246,0,-13,-14197,8193,5120,30335,13516
247,247,0,-4254,-16385,16384,-31232,56,19410
248,248,0,-8205,-14189,8188,-11264,-39583,16997
249,249,0,-11596,-8189,-8196,28928,-24517,4976
250,250,0,-14197,3,-16385,17664,11188,-1776
251,251,0,-15830,8197,-8191,-25088,-629,1243
252,252,0,-16385,14193,8193,-22528,-38868,930
253,253,0,-15826,16384,16384,20736,-29769,-8904
254,254,0,-14189,14183,8188,27136,17198,-15234
255,255,0,-11584,8182,-8196,-14848,22085,-9031
256,256,0,-8189,-13,-16385,-29952,-24390,-2381
257,257,0,-4238,-8205,-8191,8960,-42245,-8181
258,258,0,3,-14197,8193,31744,-1429,-17720
259,259,0,4245,-16385,16384,-2048,26696,-15863
260,260,0,8197,-14189,8188,-32256,-1900,-7207
261,261,0,11589,-8189,-8196,-5120,-29107,-6782
262,262,0,14193,3,-16385,31232,325,-13211
263,263,0,15827,8197,-8191,11264,41329,-11479
264,264,0,16384,14193,8193,-28928,29141,288
265,265,0,15823,16384,16384,-17664,-3400,7537
266,266,0,14183,14183,8188,25088,10447,5744
267,267,0,11578,8182,-8196,22528,48409,7637
268,268,0,8182,-13,-16385,-20736,36148,18784
269,269,0,4230,-8205,-8191,-27136,-16658,25473
270,270,0,-13,-14197,8193,14848,-29057,18124
271,271,0,-4254,-16385,16384,29952,9784,8594
272,272,0,-8205,-14189,8188,-8960,21601,9965
273,273,0,-11596,-8189,-8196,-31744,-22213,14119
274,274,0,-14197,3,-16385,2048,-49484,6800
275,275,0,-15830,8197,-8191,32256,-16245,-6421
276,276,0,-16385,14193,8193,5120,18476,-9680
277,277,0,-15826,16384,16384,-31232,-2121,-3851
278,278,0,-14189,14183,8188,-11264,-34770,-3900
279,279,0,-11584,8182,-8196,28928,-16315,-12105
280,280,0,-8189,-13,-16385,17664,19386,-14671
281,281,0,-4238,-8205,-8191,-25088,5371,-7991
282,282,0,3,-14197,8193,-22528,-35477,-5650
283,283,0,4245,-16385,16384,20736,-27576,-13813
284,284,0,8197,-14189,8188,27136,20884,-18981
285,285,0,11589,-8189,-8196,-14848,30285,-11388
286,286,0,14193,3,-16385,-29952,-9403,-2394
287,287,0,15827,8197,-8191,8960,-19855,-4446
288,288,0,16384,14193,8193,31744,26837,-8854
289,289,0,15823,16384,16384,-2048,57272,-1038
290,290,0,14183,14183,8188,-32256,26063,13409
291,291,0,11578,8182,-8196,-5120,-8935,18248
292,292,0,8182,-13,-16385,31232,8500,13733
293,293,0,4230,-8205,-8191,11264,35310,14141
294,294,0,-13,-14197,8193,-28928,9343,21200
295,295,0,-4254,-16385,16384,-17664,-33992,20885
296,296,0,-8205,-14189,8188,25088,-26015,9776
297,297,0,-11596,-8189,-8196,22528,11835,2050
298,298,0,-14197,3,-16385,-20736,4788,4752
299,299,0,-15830,8197,-8191,-27136,-39029,5355
300,300,0,-16385,14193,8193,14848,-40916,-5072
301,301,0,-15826,16384,16384,29952,7607,-14667
302,302,0,-14189,14183,8188,-8960,26414,-10932
303,303,0,-11584,8182,-8196,-31744,-14011,-2962
304,304,0,-8189,-13,-16385,2048,-41286,-6095
305,305,0,-4238,-8205,-8191,32256,-10245,-15655
306,306,0,3,-14197,8193,5120,21867,-16260
307,307,0,4245,-16385,16384,-31232,72,-8761
308,308,0,8197,-14189,8188,-11264,-31084,-7648
309,309,0,11589,-8189,-8196,28928,-8115,-14463
310,310,0,14193,3,-16385,17664,34373,-14684
311,311,0,15827,8197,-8191,-25088,27761,-4256
312,312,0,16384,14193,8193,-22528,-7211,3216
313,313,0,15823,16384,16384,20736,3000,1011
314,314,0,14183,14183,8188,27136,48847,1634
315,315,0,11578,8182,-8196,-14848,50457,13641
316,316,0,8182,-13,-16385,-29952,-1228,24550
317,317,0,4230,-8205,-8191,8960,-25874,21174
318,318,0,-13,-14197,8193,31744,7039,12058
319,319,0,-4254,-16385,16384,-2048,26680,12310
320,320,0,-8205,-14189,8188,-32256,-10399,17441
321,321,0,-11596,-8189,-8196,-5120,-45509,12661
322,322,0,-14197,3,-16385,31232,-22860,-299
323,323,0,-15830,8197,-8191,11264,12939,-5977
324,324,0,-16385,14193,8193,-28928,-2516,-1996
325,325,0,-15826,16384,16384,-17664,-36169,-2376
326,326,0,-14189,14183,8188,25088,-21202,-11122
327,327,0,-11584,8182,-8196,22528,20037,-15033
328,328,0,-8189,-13,-16385,-20736,12986,-8145
329,329,0,-4238,-8205,-8191,-27136,-33029,-3881
330,330,0,3,-14197,8193,14848,-37525,-11654
331,331,0,4245,-16385,16384,29952,9800,-19579
332,332,0,8197,-14189,8188,-8960,30100,-14682
333,333,0,11589,-8189,-8196,-31744,-5811,-5322
334,334,0,14193,3,-16385,2048,-26299,-6110
335,335,0,15827,8197,-8191,32256,12145,-11921
336,336,0,16384,14193,8193,5120,50133,-7395
337,337,0,15823,16384,16384,-31232,30648,6062
338,338,0,14183,14183,8188,-11264,-3121,12966
339,339,0,11578,8182,-8196,28928,12057,10565
340,340,0,8182,-13,-16385,17664,42548,12258
341,341,0,4230,-8205,-8191,-25088,21742,21362
342,342,0,-13,-14197,8193,-22528,-27009,24127
343,343,0,-4254,-16385,16384,20736,-27592,14358
344,344,0,-8205,-14189,8188,27136,12385,5665
345,345,0,-11596,-8189,-8196,-14848,13883,8053
346,346,0,-14197,3,-16385,-29952,-32588,10517
347,347,0,-15830,8197,-8191,8960,-48245,1055
348,348,0,-16385,14193,8193,31744,-4820,-11139
349,349,0,-15826,16384,16384,-2048,24503,-10952
350,350,0,-14189,14183,8188,-32256,-5586,-3458
351,351,0,-11584,8182,-8196,-5120,-37307,-4423
352,352,0,-8189,-13,-16385,31232,-14662,-13197
353,353,0,-4238,-8205,-8191,11264,18939,-15213
354,354,0,3,-14197,8193,-28928,875,-8577
355,355,0,4245,-16385,16384,-17664,-33976,-7287
356,356,0,8197,-14189,8188,25088,-17516,-14871
357,357,0,11589,-8189,-8196,22528,28237,-17392
358,358,0,14193,3,-16385,-20736,27973,-8159
359,359,0,15827,8197,-8191,-27136,-10639,-146
360,360,0,16384,14193,8193,14848,-9259,-2788
361,361,0,15823,16384,16384,29952,40376,-4755
362,362,0,14183,14183,8188,-8960,58063,5933
363,363,0,11578,8182,-8196,-31744,14361,19707
364,364,0,8182,-13,-16385,2048,-18124,20833
365,365,0,4230,-8205,-8191,32256,6126,13697
366,366,0,-13,-14197,8193,5120,30335,13516
367,367,0,-4254,-16385,16384,-31232,56,19410
368,368,0,-8205,-14189,8188,-11264,-39583,16997
369,369,0,-11596,-8189,-8196,28928,-24517,4976
370,370,0,-14197,3,-16385,17664,11188,-1776
371,371,0,-15830,8197,-8191,-25088,-629,1243
372,372,0,-16385,14193,8193,-22528,-38868,930
373,373,0,-15826,16384,16384,20736,-29769,-8904
374,374,0,-14189,14183,8188,27136,17198,-15234
375,375,0,-11584,8182,-8196,-14848,22085,-9031
376,376,0,-8189,-13,-16385,-29952,-24390,-2381
377,377,0,-4238,-8205,-8191,8960,-42245,-8181
378,378,0,3,-14197,8193,31744,-1429,-17720
379,379,0,4245,-16385,16384,-2048,26696,-15863
380,380,0,8197,-14189,8188,-32256,-1900,-7207
381,381,0,11589,-8189,-8196,-5120,-29107,-6782
382,382,0,14193,3,-16385,31232,325,-13211
383,383,0,15827,8197,-8191,11264,41329,-11479
384,384,0,16384,14193,8193,-28928,29141,288
385,385,0,15823,16384,16384,-17664,-3400,7537
386,386,0,14183,14183,8188,25088,10447,5744
387,387,0,11578,8182,-8196,22528,48409,7637
388,388,0,8182,-13,-16385,-20736,36148,18784
389,389,0,4230,-8205,-8191,-27136,-16658,25473
390,390,0,-13,-14197,8193,14848,-29057,18124
391,391,0,-4254,-16385,16384,29952,9784,8594
392,392,0,-8205,-14189,8188,-8960,21601,9965
393,393,0,-11596,-8189,-8196,-31744,-22213,14119
394,394,0,-14197,3,-16385,2048,-49484,6800
395,395,0,-15830,8197,-8191,32256,-16245,-6421
396,396,0,-16385,14193,8193,5120,18476,-9680
397,397,0,-15826,16384,16384,-31232,-2121,-3851
398,398,0,-14189,14183,8188,-11264,-34770,-3900
399,399,0,-11584,8182,-8196,28928,-16315,-12105
400,400,0,-8189,-13,-16385,17664,19386,-14671
401,401,0,-4238,-8205,-8191,-25088,5371,-7991
402,402,0,3,-14197,8193,-22528,-35477,-5650
403,403,0,4245,-16385,16384,20736,-27576,-13813
404,404,0,8197,-14189,8188,27136,20884,-18981
405,405,0,11589,-8189,-8196,-14848,30285,-11388
406,406,0,14193,3,-16385,-29952,-9403,-2394
407,407,0,15827,8197,-8191,8960,-19855,-4446
408,408,0,16384,14193,8193,31744,26837,-8854
409,409,0,15823,16384,16384,-2048,57272,-1038
410,410,0,14183,14183,8188,-32256,26063,13409
411,411,0,11578,8182,-8196,-5120,-8935,18248
412,412,0,8182,-13,-16385,31232,8500,13733
413,413,0,4230,-8205,-8191,11264,35310,14141
414,414,0,-13,-14197,8193,-28928,9343,21200
415,415,0,-4254,-16385,16384,-17664,-33992,20885
416,416,0,-8205,-14189,8188,25088,-26015,9776
417,417,0,-11596,-8189,-8196,22528,11835,2050
418,418,0,-14197,3,-16385,-20736,4788,4752
419,419,0,-15830,8197,-8191,-27136,-39029,5355
420,420,0,-16385,14193,8193,14848,-40916,-5072
421,421,0,-15826,16384,16384,29952,7607,-14667
422,422,0,-14189,14183,8188,-8960,26414,-10932
423,423,0,-11584,8182,-8196,-31744,-14011,-2962
424,424,0,-8189,-13,-16385,2048,-41286,-6095
425,425,0,-4238,-8205,-8191,32256,-10245,-15655
426,426,0,3,-14197,8193,5120,21867,-16260
427,427,0,4245,-16385,16384,-31232,72,-8761
428,428,0,8197,-14189,8188,-11264,-31084,-7648
429,429,0,11589,-8189,-8196,28928,-8115,-14463
430,430,0,14193,3,-16385,17664,34373,-14684
431,431,0,15827,8197,-8191,-25088,27761,-4256
432,432,0,16384,14193,8193,-22528,-7211,3216
433,433,0,15823,16384,16384,20736,3000,1011
434,434,0,14183,14183,8188,27136,48847,1634
435,435,0,11578,8182,-8196,-14848,50457,13641
436,436,0,8182,-13,-16385,-29952,-1228,24550
437,437,0,4230,-8205,-8191,8960,-25874,21174
438,438,0,-13,-14197,8193,31744,7039,12058
439,439,0,-4254,-16385,16384,-2048,26680,12310
440,440,0,-8205,-14189,8188,-32256,-10399,17441
441,441,0,-11596,-8189,-8196,-5120,-45509,12661
442,442,0,-14197,3,-16385,31232,-22860,-299
443,443,0,-15830,8197,-8191,11264,12939,-5977
444,444,0,-16385,14193,8193,-28928,-2516,-1996
445,445,0,-15826,16384,16384,-17664,-36169,-2376
446,446,0,-14189,14183,8188,25088,-21202,-11122
447,447,0,-11584,8182,-8196,22528,20037,-15033
448,448,0,-8189,-13,-16385,-20736,12986,-8145
449,449,0,-4238,-8205,-8191,-27136,-33029,-3881
450,450,0,3,-14197,8193,14848,-37525,-11654
451,451,0,4245,-16385,16384,29952,9800,-19579
452,452,0,8197,-14189,8188,-8960,30100,-14682
453,453,0,11589,-8189,-8196,-31744,-5811,-5322
454,454,0,14193,3,-16385,2048,-26299,-6110
455,455,0,15827,8197,-8191,32256,12145,-11921
456,456,0,16384,14193,8193,5120,50133,-7395
457,457,0,15823,16384,16384,-31232,30648,6062
458,458,0,14183,14183,8188,-11264,-3121,12966
459,459,0,11578,8182,-8196,28928,12057,10565
460,460,0,8182,-13,-16385,17664,42548,12258
461,461,0,4230,-8205,-8191,-25088,21742,21362
462,462,0,-13,-14197,8193,-22528,-27009,24127
463,463,0,-4254,-16385,16384,20736,-27592,14358
464,464,0,-8205,-14189,8188,27136,12385,5665
465,465,0,-11596,-8189,-8196,-14848,13883,8053
466,466,0,-14197,3,-16385,-29952,-32588,10517
467,467,0,-15830,8197,-8191,8960,-48245,1055
468,468,0,-16385,14193,8193,31744,-4820,-11139
469,469,0,-15826,16384,16384,-2048,24503,-10952
470,470,0,-14189,14183,8188,-32256,-5586,-3458
471,471,0,-11584,8182,-8196,-5120,-37307,-4423
472,472,0,-8189,-13,-16385,31232,-14662,-13197
473,473,0,-4238,-8205,-8191,11264,18939,-15213
474,474,0,3,-14197,8193,-28928,875,-8577
475,475,0,4245,-16385,16384,-17664,-33976,-7287
476,476,0,8197,-14189,8188,25088,-17516,-14871
477,477,0,11589,-8189,-8196,22528,28237,-17392
478,478,0,14193,3,-16385,-20736,27973,-8159
479,479,0,15827,8197,-8191,-27136,-10639,-146
480,480,0,16384,14193,8193,14848,-9259,-2788
481,481,0,15823,16384,16384,29952,40376,-4755
482,482,0,14183,14183,8188,-8960,58063,5933
483,483,0,11578,8182,-8196,-31744,14361,19707
484,484,0,8182,-13,-16385,2048,-18124,20833
485,485,0,4230,-8205,-8191,32256,6126,13697
486,486,0,-13,-14197,8193,5120,30335,13516
487,487,0,-4254,-16385,16384,-31232,56,19410
488,488,0,-8205,-14189,8188,-11264,-39583,16997
489,489,0,-11596,-8189,-8196,28928,-24517,4976
490,490,0,-14197,3,-16385,17664,11188,-1776
491,491,0,-15830,8197,-8191,-25088,-629,1243
492,492,0,-16385,14193,8193,-22528,-38868,930
493,493,0,-15826,16384,16384,20736,-29769,-8904
494,494,0,-14189,14183,8188,27136,17198,-15234
495,495,0,-11584,8182,-8196,-14848,22085,-9031
496,496,0,-8189,-13,-16385,-29952,-24390,-2381
497,497,0,-4238,-8205,-8191,8960,-42245,-8181
498,498,0,3,-14197,8193,31744,-1429,-17720
499,499,0,4245,-16385,16384,-2048,26696,-15863
500,500,0,8197,-14189,8188,-32256,-1900,-7207
501,501,0,11589,-8189,-8196,-5120,-29107,-6782
502,502,0,14193,3,-16385,31232,325,-13211
503,503,0,15827,8197,-8191,11264,41329,-11479
504,504,0,16384,14193,8193,-28928,29141,288
505,505,0,15823,16384,16384,-17664,-3400,7537
506,506,0,14183,14183,8188,25088,10447,5744
507,507,0,11578,8182,-8196,22528,48409,7637
508,508,0,8182,-13,-16385,-20736,36148,18784
509,509,0,4230,-8205,-8191,-27136,-16658,25473
510,510,0,-13,-14197,8193,14848,-29057,18124
511,511,0,-4254,-16385,16384,29952,9784,8594
512,512,0,-8205,-14189,8188,-8960,21601,9965
513,513,0,-11596,-8189,-8196,-31744,-22213,14119
514,514,0,-14197,3,-16385,2048,-49484,6800
515,515,0,-15830,8197,-8191,32256,-16245,-6421
516,516,0,-16385,14193,8193,5120,18476,-9680
517,517,0,-15826,16384,16384,-31232,-2121,-3851
518,518,0,-14189,14183,8188,-11264,-34770,-3900
519,519,0,-11584,8182,-8196,28928,-16315,-12105
