Sample in Buffer,Sample in Window,TRIGGER,cos_500kHz[15:0],cos_1MHz[15:0],cos_2MHz[15:0],cos_2_8MHz_wc[15:0],outputCos[17:0],filteredCos[18:0]
2832,2832,0,16384,14193,8193,-22528,-7211,3274
2833,2833,0,15823,16384,16384,20736,3000,1062
2834,2834,0,14183,14183,8188,27136,48847,1679
2835,2835,0,11578,8182,-8196,-14848,50457,13680
2836,2836,0,8182,-13,-16385,-29952,-1228,24584
2837,2837,0,4230,-8205,-8191,8192,-25874,21204
2838,2838,0,-13,-14197,8193,31744,6271,12085
2839,2839,0,-4254,-16385,16384,-2048,26680,12142
2840,2840,0,-8205,-14189,8188,-32256,-10399,17294
2841,2841,0,-11596,-8189,-8196,-5120,-45509,12532
2842,2842,0,-14197,3,-16385,31232,-22860,-412
2843,2843,0,-15830,8197,-8191,11264,12939,-6076
2844,2844,0,-16385,14193,8193,-28928,-2516,-2082
2845,2845,0,-15826,16384,16384,-17664,-36169,-2451
2846,2846,0,-14189,14183,8188,25088,-21202,-11187
2847,2847,0,-11584,8182,-8196,22528,20037,-15090
2848,2848,0,-8189,-13,-16385,-20736,12986,-8195
2849,2849,0,-4238,-8205,-8191,-27136,-33029,-3925
2850,2850,0,3,-14197,8193,14848,-37525,-11692
2851,2851,0,4245,-16385,16384,29952,9800,-19612
2852,2852,0,8197,-14189,8188,-8192,30100,-14711
2853,2853,0,11589,-8189,-8196,-31744,-5043,-5348
2854,2854,0,14193,3,-16385,2048,-26299,-5941
2855,2855,0,15827,8197,-8191,32256,12145,-11774
2856,2856,0,16384,14193,8193,5120,50133,-7266
2857,2857,0,15823,16384,16384,-31232,30648,6175
2858,2858,0,14183,14183,8188,-11264,-3121,13065
2859,2859,0,11578,8182,-8196,28928,12057,10651
2860,2860,0,8182,-13,-16385,17664,42548,12333
2861,2861,0,4230,-8205,-8191,-25088,21742,21428
2862,2862,0,-13,-14197,8193,-22528,-27009,24185
2863,2863,0,-4254,-16385,16384,20736,-27592,14409
2864,2864,0,-8205,-14189,8188,27136,12385,5709
2865,2865,0,-11596,-8189,-8196,-14848,13883,8091
2866,2866,0,-14197,3,-16385,-29952,-32588,10550
2867,2867,0,-15830,8197,-8191,8192,-48245,1084
2868,2868,0,-16385,14193,8193,31744,-5588,-11113
2869,2869,0,-15826,16384,16384,-2048,24503,-11121
2870,2870,0,-14189,14183,8188,-32256,-5586,-3606
