freq Xk_re Xk_im Xk_mag Xk_err
2.333e+07 -1.96772 -1.85628 2.70512 -0.957062
2.334e+07 -1.89791 -1.89499 2.68198 -0.957429
2.335e+07 -1.82753 -1.9304 2.65826 -0.957805
2.336e+07 -1.75672 -1.96245 2.63387 -0.958193
2.337e+07 -1.68559 -1.99107 2.60875 -0.958591
2.338e+07 -1.61428 -2.0162 2.58282 -0.959003
2.339e+07 -1.54291 -2.0378 2.55601 -0.959428
2.34e+07 -1.47162 -2.0558 2.52824 -0.959869
2.341e+07 -1.40052 -2.07018 2.49942 -0.960327
2.342e+07 -1.32976 -2.0809 2.4695 -0.960802
2.343e+07 -1.25946 -2.08793 2.43838 -0.961296
2.344e+07 -1.18974 -2.09125 2.406 -0.96181
2.345e+07 -1.12074 -2.09085 2.37228 -0.962345
2.346e+07 -1.05258 -2.08672 2.33716 -0.962902
2.347e+07 -0.985397 -2.07885 2.30057 -0.963483
2.348e+07 -0.919304 -2.06726 2.26245 -0.964088
2.349e+07 -0.854427 -2.05195 2.22273 -0.964719
2.35e+07 -0.790888 -2.03294 2.18137 -0.965375
2.351e+07 -0.728807 -2.01027 2.1383 -0.966059
2.352e+07 -0.6683 -1.98395 2.09349 -0.96677
2.353e+07 -0.609481 -1.95404 2.04688 -0.96751
2.354e+07 -0.552464 -1.92056 1.99845 -0.968279
2.355e+07 -0.497357 -1.88359 1.94814 -0.969077
2.356e+07 -0.444266 -1.84316 1.89595 -0.969906
2.357e+07 -0.393294 -1.79936 1.84184 -0.970764
2.358e+07 -0.344542 -1.75224 1.78579 -0.971654
2.359e+07 -0.298104 -1.70188 1.7278 -0.972575
2.36e+07 -0.254073 -1.64837 1.66784 -0.973526
2.361e+07 -0.212538 -1.5918 1.60592 -0.974509
2.362e+07 -0.173582 -1.53225 1.54205 -0.975523
2.363e+07 -0.137286 -1.46982 1.47622 -0.976568
2.364e+07 -0.103725 -1.40463 1.40845 -0.977644
2.365e+07 -0.0729693 -1.33678 1.33877 -0.97875
2.366e+07 -0.0450864 -1.26638 1.26718 -0.979886
2.367e+07 -0.0201374 -1.19355 1.19372 -0.981052
2.368e+07 0.00182129 -1.11842 1.11843 -0.982247
2.369e+07 0.020738 -1.04112 1.04133 -0.983471
2.37e+07 0.0365665 -0.961778 0.962473 -0.984723
2.371e+07 0.0492656 -0.88053 0.881907 -0.986001
2.372e+07 0.0587996 -0.797516 0.799681 -0.987307
2.373e+07 0.065138 -0.712881 0.715851 -0.988637
2.374e+07 0.068256 -0.626772 0.630477 -0.989992
2.375e+07 0.0681341 -0.539337 0.543624 -0.991371
2.376e+07 0.0647587 -0.450731 0.455359 -0.992772
2.377e+07 0.0581216 -0.361107 0.365754 -0.994194
2.378e+07 0.0482202 -0.270623 0.274885 -0.995637
2.379e+07 0.0350578 -0.179438 0.18283 -0.997098
2.38e+07 0.0186433 -0.087712 0.0896714 -0.998577
2.381e+07 -0.00100896 0.00439209 0.00450649 -0.999928
2.382e+07 -0.0238786 0.0967115 0.0996158 -0.998419
2.383e+07 -0.0499397 0.189082 0.195566 -0.996896
2.384e+07 -0.0791608 0.281341 0.292265 -0.995361
2.385e+07 -0.111505 0.373321 0.389618 -0.993816
2.386e+07 -0.146929 0.46486 0.487528 -0.992261
2.387e+07 -0.185385 0.555793 0.585896 -0.9907
2.388e+07 -0.22682 0.645957 0.684622 -0.989133
2.389e+07 -0.271175 0.735189 0.783606 -0.987562
2.39e+07 -0.318385 0.823328 0.882745 -0.985988
2.391e+07 -0.368381 0.910215 0.981935 -0.984414
2.392e+07 -0.42109 0.995691 1.08107 -0.98284
2.393e+07 -0.47643 1.0796 1.18005 -0.981269
2.394e+07 -0.53432 1.16179 1.27877 -0.979702
2.395e+07 -0.594669 1.24211 1.37713 -0.978141
2.396e+07 -0.657384 1.32042 1.47501 -0.976587
2.397e+07 -0.722369 1.39656 1.57232 -0.975043
2.398e+07 -0.78952 1.4704 1.66896 -0.973509
2.399e+07 -0.858732 1.5418 1.76481 -0.971987
2.4e+07 -0.929895 1.61063 1.85979 -0.97048
2.401e+07 -1.0029 1.67675 1.95379 -0.968987
2.402e+07 -1.07762 1.74005 2.04671 -0.967513
2.403e+07 -1.15394 1.8004 2.13846 -0.966056
2.404e+07 -1.23173 1.85769 2.22894 -0.96462
2.405e+07 -1.31088 1.91181 2.31806 -0.963205
2.406e+07 -1.39125 1.96265 2.40574 -0.961814
2.407e+07 -1.4727 2.01012 2.49188 -0.960446
2.408e+07 -1.55511 2.05413 2.5764 -0.959105
2.409e+07 -1.63834 2.09457 2.65921 -0.95779
2.41e+07 -1.72226 2.13139 2.74025 -0.956504
2.411e+07 -1.80671 2.16449 2.81944 -0.955247
2.412e+07 -1.89156 2.19382 2.89669 -0.954021
2.413e+07 -1.97667 2.2193 2.97196 -0.952826
2.414e+07 -2.0619 2.24089 3.04517 -0.951664
2.415e+07 -2.1471 2.25854 3.11626 -0.950536
2.416e+07 -2.23213 2.2722 3.18517 -0.949442
2.417e+07 -2.31685 2.28185 3.25186 -0.948383
2.418e+07 -2.4011 2.28744 3.31628 -0.947361
2.419e+07 -2.48476 2.28897 3.37837 -0.946375
2.42e+07 -2.56767 2.28642 3.43811 -0.945427
2.421e+07 -2.64969 2.27978 3.49546 -0.944516
2.422e+07 -2.73069 2.26906 3.55039 -0.943645
2.423e+07 -2.81052 2.25426 3.60287 -0.942812
2.424e+07 -2.88904 2.23539 3.65288 -0.942018
2.425e+07 -2.96613 2.2125 3.70041 -0.941263
2.426e+07 -3.04164 2.18559 3.74545 -0.940548
2.427e+07 -3.11545 2.15471 3.78798 -0.939873
